ts,model,profile,lang,kind,run,ttft_ms,total_ms,prompt_eval_count,eval_count,eval_duration_ms,tok_s,done_reason,chars_in,chars_out,tag_ok,loaded_before
2026-09-21T13:22:09.413Z,gemma4:26b,instruct-json,,warmup,0,,3.78,,,,,load,,,,true
2026-09-21T13:22:11.962Z,gemma4:26b,instruct-json,en,single,1,303.74,2544.65,392,182,2241.7,81.19,stop,517,579,true,true
2026-09-21T13:22:14.265Z,gemma4:26b,instruct-json,en,single,2,60.04,2300.77,392,182,2241.01,81.21,stop,517,579,true,true
2026-09-21T13:22:16.562Z,gemma4:26b,instruct-json,en,single,3,56.61,2297.2,392,182,2240.67,81.23,stop,517,579,true,true
2026-09-21T13:22:18.197Z,gemma4:26b,instruct-json,en,batch3,1,277.74,1633.88,371,121,1356.3,89.21,stop,302,343,true,true
2026-09-21T13:22:20.644Z,gemma4:26b,instruct-json,ru,single,1,312.65,2447.32,432,180,2135.23,84.3,stop,548,577,true,true
2026-09-21T13:22:22.845Z,gemma4:26b,instruct-json,ru,single,2,65.01,2199.95,432,180,2134.8,84.32,stop,548,577,true,true
2026-09-21T13:22:25.049Z,gemma4:26b,instruct-json,ru,single,3,57.67,2202.78,432,180,2145.21,83.91,stop,548,577,true,true
2026-09-21T13:22:26.729Z,gemma4:26b,instruct-json,ru,batch3,1,296.26,1679.07,380,129,1382.86,93.28,stop,324,370,true,true
2026-09-21T13:22:29.497Z,gemma4:26b,instruct-json,zh-Hans,single,1,339.54,2768.06,404,208,2428.42,85.65,stop,174,684,true,true
2026-09-21T13:22:31.942Z,gemma4:26b,instruct-json,zh-Hans,single,2,68.26,2443.46,404,208,2375.15,87.57,stop,174,684,true,true
2026-09-21T13:22:34.370Z,gemma4:26b,instruct-json,zh-Hans,single,3,67.08,2427.23,404,208,2360.32,88.12,stop,174,684,true,true
2026-09-21T13:22:36.265Z,gemma4:26b,instruct-json,zh-Hans,batch3,1,278.84,1893.58,372,142,1614.41,87.96,stop,104,409,true,true
2026-09-21T13:22:39.004Z,gemma4:26b,instruct-json,zh-Hant,single,1,309.59,2738.84,412,203,2429.45,83.56,stop,164,660,true,true
2026-09-21T13:22:41.551Z,gemma4:26b,instruct-json,zh-Hant,single,2,67.54,2546.41,412,203,2478.71,81.9,stop,164,660,true,true
2026-09-21T13:22:44.065Z,gemma4:26b,instruct-json,zh-Hant,single,3,66.62,2510.98,412,203,2444.71,83.04,stop,164,660,true,true
2026-09-21T13:22:45.951Z,gemma4:26b,instruct-json,zh-Hant,batch3,1,285.02,1886.03,384,143,1601.06,89.32,stop,105,407,true,true
2026-09-21T13:22:48.584Z,gemma4:26b,instruct-json,th,single,1,350.01,2632.58,469,187,2282.73,81.92,stop,474,620,true,true
2026-09-21T13:22:50.905Z,gemma4:26b,instruct-json,th,single,2,70.99,2320.07,469,187,2249.13,83.14,stop,474,620,true,true
2026-09-21T13:22:53.211Z,gemma4:26b,instruct-json,th,single,3,67,2303.1,469,187,2236.04,83.63,stop,474,620,true,true
2026-09-21T13:22:54.760Z,gemma4:26b,instruct-json,th,batch3,1,328.83,1548.66,391,121,1219.82,99.2,stop,270,344,true,true
2026-09-21T13:22:54.767Z,translategemma:12b,translategemma,,warmup,0,,1.98,,,,,load,,,,true
2026-09-21T13:22:59.898Z,translategemma:12b,translategemma,en,single,1,108.95,5129.43,186,171,5020.66,34.06,stop,517,579,true,true
2026-09-21T13:23:04.987Z,translategemma:12b,translategemma,en,single,2,85.41,5086.24,186,171,5000.86,34.19,stop,517,579,true,true
2026-09-21T13:23:10.072Z,translategemma:12b,translategemma,en,single,3,85.22,5084.28,186,171,4999.18,34.21,stop,517,579,true,true
2026-09-21T13:23:15.415Z,translategemma:12b,translategemma,ru,single,1,400.48,5341.88,226,168,4941.63,34,stop,548,594,true,true
2026-09-21T13:23:20.449Z,translategemma:12b,translategemma,ru,single,2,88.13,5033.01,226,166,4945.05,33.57,stop,548,584,true,true
2026-09-21T13:23:25.508Z,translategemma:12b,translategemma,ru,single,3,89.46,5058.29,226,166,4969.12,33.41,stop,548,584,true,true
2026-09-21T13:23:30.869Z,translategemma:12b,translategemma,zh-Hans,single,1,393.53,5360.1,198,169,4966.79,34.03,stop,174,587,false,true
2026-09-21T13:23:36.045Z,translategemma:12b,translategemma,zh-Hans,single,2,86.26,5175.44,198,169,5089.23,33.21,stop,174,587,false,true
2026-09-21T13:23:41.247Z,translategemma:12b,translategemma,zh-Hans,single,3,85.95,5201.33,198,169,5115.59,33.04,stop,174,587,false,true
